anio,departamento,umbral_pct,perdida_real_pct,prediccion_m1_pct,prediccion_m3_pct,evento_real,trigger_activado,pago_pp,basis_risk_pp,rendimiento_t_ha,produccion_t_ref,precio_ico_usd_ton,pago_usd_k,basis_risk_usd_k,split
2007,Cundinamarca,-25,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-24,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-23,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-22,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-21,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-20,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-19,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-18,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-17,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-16,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-15,-15.245,-15.1864,-14.4096,True,False,0.0,-15.245,0.7841,39796.07,2750.0,0.0,-16684.0594,train
2007,Cundinamarca,-14,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-13,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-12,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-11,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-10,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-9,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-8,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-7,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-6,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-5,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-4,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-3,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-2,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,-1,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,0,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,1,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,2,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,3,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,4,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2007,Cundinamarca,5,-15.245,-15.1864,-14.4096,True,True,14.4096,-0.8354,0.7841,39796.07,2750.0,15769.8019,-914.2575,train
2008,Cundinamarca,-25,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
2008,Cundinamarca,-24,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
2008,Cundinamarca,-23,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
2008,Cundinamarca,-22,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
2008,Cundinamarca,-21,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
2008,Cundinamarca,-20,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
2008,Cundinamarca,-19,-11.4791,-11.1322,-9.3704,False,False,0.0,-11.4791,0.8189,40365.99,2900.0,0.0,-13437.549,train
