anio,departamento,fold,y_true,y_pred_m1,y_pred_m3
2010,Cundinamarca,0,-9.1204,-14.2202,-13.6143
2011,Cundinamarca,0,-5.4569,-11.4695,-9.5196
2012,Cundinamarca,0,-10.482,-11.4695,-11.9751
2010,Risaralda,0,28.6025,7.3414,28.7223
2011,Risaralda,0,-7.4792,7.3414,26.7825
2012,Risaralda,0,-31.5254,-0.8405,-3.1052
2013,Cundinamarca,1,-25.3456,-10.6841,-10.7656
2014,Cundinamarca,1,-19.2478,-9.7568,-8.9084
2015,Cundinamarca,1,-1.2132,27.1762,-8.914
2013,Risaralda,1,-16.7616,-27.0678,-19.688
2014,Risaralda,1,-10.2167,-25.6853,-28.3369
2015,Risaralda,1,-4.5184,-26.2078,-30.074
2016,Cundinamarca,2,2.2336,-6.2272,-12.5284
2017,Cundinamarca,2,18.7631,-9.6137,-7.7994
2018,Cundinamarca,2,21.0834,-13.6431,-10.9061
2016,Risaralda,2,-1.2516,-5.1674,-14.0776
2017,Risaralda,2,5.7436,-1.4766,0.9838
2018,Risaralda,2,8.02,-3.8797,-2.0878
2019,Cundinamarca,3,27.3363,0.9819,-1.9541
2020,Cundinamarca,3,18.0317,10.6374,0.2267
2021,Cundinamarca,3,8.1516,-23.7456,-12.6104
2019,Risaralda,3,16.7466,1.2736,-3.1663
2020,Risaralda,3,2.7742,4.0813,-0.2488
2021,Risaralda,3,-7.5887,9.4565,8.5773
2022,Cundinamarca,4,-10.5677,-9.7745,-9.8805
2023,Cundinamarca,4,-4.3375,-4.5056,14.0651
2024,Cundinamarca,4,24.6086,4.0126,6.958
2022,Risaralda,4,-15.5808,-6.9302,0.0434
2023,Risaralda,4,-16.0334,-6.7663,-6.9518
2024,Risaralda,4,13.1438,11.123,-4.0502
