anio,mes,departamento,score_m4,es_mes_cosecha,percentil_historico
2000,1,Cundinamarca,,0,
2000,2,Cundinamarca,,0,
2000,3,Cundinamarca,,0,
2000,4,Cundinamarca,,1,
2000,5,Cundinamarca,,1,
2000,6,Cundinamarca,,1,
2000,7,Cundinamarca,,0,
2000,8,Cundinamarca,,0,
2000,9,Cundinamarca,,0,
2000,10,Cundinamarca,,1,
2000,11,Cundinamarca,,1,
2000,12,Cundinamarca,,1,
2001,1,Cundinamarca,,0,
2001,2,Cundinamarca,,0,
2001,3,Cundinamarca,,0,
2001,4,Cundinamarca,,1,
2001,5,Cundinamarca,,1,
2001,6,Cundinamarca,,1,
2001,7,Cundinamarca,,0,
2001,8,Cundinamarca,,0,
2001,9,Cundinamarca,,0,
2001,10,Cundinamarca,,1,
2001,11,Cundinamarca,,1,
2001,12,Cundinamarca,,1,
2002,1,Cundinamarca,,0,
2002,2,Cundinamarca,,0,
2002,3,Cundinamarca,,0,
2002,4,Cundinamarca,,1,
2002,5,Cundinamarca,,1,
2002,6,Cundinamarca,,1,
2002,7,Cundinamarca,,0,
2002,8,Cundinamarca,,0,
2002,9,Cundinamarca,,0,
2002,10,Cundinamarca,,1,
2002,11,Cundinamarca,,1,
2002,12,Cundinamarca,,1,
2003,1,Cundinamarca,,0,
2003,2,Cundinamarca,,0,
2003,3,Cundinamarca,,0,
2003,4,Cundinamarca,,1,
2003,5,Cundinamarca,,1,
2003,6,Cundinamarca,,1,
2003,7,Cundinamarca,,0,
2003,8,Cundinamarca,,0,
2003,9,Cundinamarca,,0,
2003,10,Cundinamarca,,1,
2003,11,Cundinamarca,,1,
2003,12,Cundinamarca,,1,
2004,1,Cundinamarca,,0,
2004,2,Cundinamarca,,0,
2004,3,Cundinamarca,,0,
2004,4,Cundinamarca,,1,
2004,5,Cundinamarca,,1,
2004,6,Cundinamarca,,1,
2004,7,Cundinamarca,,0,
2004,8,Cundinamarca,,0,
2004,9,Cundinamarca,,0,
2004,10,Cundinamarca,,1,
2004,11,Cundinamarca,,1,
2004,12,Cundinamarca,,1,
2005,1,Cundinamarca,,0,
2005,2,Cundinamarca,,0,
2005,3,Cundinamarca,,0,
2005,4,Cundinamarca,,1,
2005,5,Cundinamarca,,1,
2005,6,Cundinamarca,,1,
2005,7,Cundinamarca,,0,
2005,8,Cundinamarca,,0,
2005,9,Cundinamarca,,0,
2005,10,Cundinamarca,,1,
2005,11,Cundinamarca,,1,
2005,12,Cundinamarca,,1,
2006,1,Cundinamarca,,0,
2006,2,Cundinamarca,,0,
2006,3,Cundinamarca,,0,
2006,4,Cundinamarca,,1,
2006,5,Cundinamarca,,1,
2006,6,Cundinamarca,,1,
2006,7,Cundinamarca,,0,
2006,8,Cundinamarca,,0,
2006,9,Cundinamarca,,0,
2006,10,Cundinamarca,,1,
2006,11,Cundinamarca,,1,
2006,12,Cundinamarca,,1,
2007,1,Cundinamarca,-5.6587,0,55.6
2007,2,Cundinamarca,-0.324,0,66.7
2007,3,Cundinamarca,4.5088,0,72.2
2007,4,Cundinamarca,-3.2202,1,61.1
2007,5,Cundinamarca,-2.6015,1,61.1
2007,6,Cundinamarca,-7.806,1,44.4
2007,7,Cundinamarca,-9.3937,0,38.9
2007,8,Cundinamarca,-5.8387,0,44.4
2007,9,Cundinamarca,-2.5976,0,66.7
2007,10,Cundinamarca,-8.865,1,33.3
2007,11,Cundinamarca,-10.146,1,33.3
2007,12,Cundinamarca,-9.515,1,27.8
2008,1,Cundinamarca,-7.6852,0,50.0
2008,2,Cundinamarca,-4.2206,0,44.4
2008,3,Cundinamarca,2.1458,0,66.7
2008,4,Cundinamarca,-1.6076,1,66.7
2008,5,Cundinamarca,-8.1248,1,44.4
2008,6,Cundinamarca,-7.7724,1,50.0
2008,7,Cundinamarca,-2.2562,0,61.1
2008,8,Cundinamarca,-3.8772,0,66.7
2008,9,Cundinamarca,-5.992,0,55.6
2008,10,Cundinamarca,-8.3478,1,44.4
2008,11,Cundinamarca,-5.8303,1,55.6
2008,12,Cundinamarca,-7.2162,1,44.4
2009,1,Cundinamarca,-8.8324,0,44.4
2009,2,Cundinamarca,0.1416,0,72.2
2009,3,Cundinamarca,-8.6742,0,44.4
2009,4,Cundinamarca,-4.5414,1,55.6
2009,5,Cundinamarca,-2.1413,1,66.7
2009,6,Cundinamarca,-4.4591,1,66.7
2009,7,Cundinamarca,2.3607,0,72.2
2009,8,Cundinamarca,-6.545,0,38.9
2009,9,Cundinamarca,-6.6558,0,50.0
2009,10,Cundinamarca,-0.6237,1,66.7
2009,11,Cundinamarca,0.4838,1,61.1
2009,12,Cundinamarca,-2.9425,1,55.6
2010,1,Cundinamarca,-14.0959,0,27.8
2010,2,Cundinamarca,-11.8431,0,16.7
2010,3,Cundinamarca,-12.4996,0,16.7
2010,4,Cundinamarca,-11.4796,1,27.8
2010,5,Cundinamarca,-8.7191,1,33.3
2010,6,Cundinamarca,-5.4445,1,61.1
2010,7,Cundinamarca,-8.4634,0,44.4
2010,8,Cundinamarca,-5.0946,0,61.1
2010,9,Cundinamarca,-2.6629,0,61.1
2010,10,Cundinamarca,-5.9947,1,50.0
2010,11,Cundinamarca,-8.3632,1,38.9
2010,12,Cundinamarca,-8.8622,1,33.3
2011,1,Cundinamarca,-15.3022,0,16.7
2011,2,Cundinamarca,-8.2741,0,27.8
2011,3,Cundinamarca,-8.8478,0,38.9
2011,4,Cundinamarca,-7.1584,1,38.9
2011,5,Cundinamarca,-8.2201,1,38.9
2011,6,Cundinamarca,-7.2396,1,55.6
2011,7,Cundinamarca,-6.7548,0,55.6
2011,8,Cundinamarca,-5.2538,0,55.6
2011,9,Cundinamarca,-9.8446,0,38.9
2011,10,Cundinamarca,-8.5797,1,38.9
2011,11,Cundinamarca,-13.2955,1,16.7
2011,12,Cundinamarca,-7.247,1,38.9
2012,1,Cundinamarca,-4.9742,0,61.1
2012,2,Cundinamarca,-10.8128,0,22.2
2012,3,Cundinamarca,-10.224,0,22.2
2012,4,Cundinamarca,-6.8542,1,44.4
2012,5,Cundinamarca,-10.2211,1,22.2
2012,6,Cundinamarca,-12.0768,1,22.2
2012,7,Cundinamarca,-16.4609,0,11.1
2012,8,Cundinamarca,-11.5405,0,27.8
2012,9,Cundinamarca,-13.8291,0,16.7
2012,10,Cundinamarca,-11.4894,1,22.2
2012,11,Cundinamarca,-13.1446,1,22.2
2012,12,Cundinamarca,-10.278,1,22.2
2013,1,Cundinamarca,-1.1507,0,66.7
2013,2,Cundinamarca,-4.9252,0,38.9
2013,3,Cundinamarca,-14.4291,0,5.6
2013,4,Cundinamarca,-16.6467,1,5.6
2013,5,Cundinamarca,-16.6256,1,11.1
2013,6,Cundinamarca,-14.3758,1,16.7
2013,7,Cundinamarca,-11.0234,0,33.3
2013,8,Cundinamarca,-5.4029,0,50.0
2013,9,Cundinamarca,-10.8028,0,33.3
2013,10,Cundinamarca,-13.121,1,11.1
2013,11,Cundinamarca,-11.3206,1,27.8
2013,12,Cundinamarca,-17.1255,1,5.6
2014,1,Cundinamarca,-12.5779,0,33.3
2014,2,Cundinamarca,-13.0795,0,11.1
2014,3,Cundinamarca,-12.9678,0,11.1
2014,4,Cundinamarca,-16.6418,1,11.1
2014,5,Cundinamarca,-18.3096,1,5.6
2014,6,Cundinamarca,-17.0843,1,5.6
2014,7,Cundinamarca,-17.3678,0,5.6
2014,8,Cundinamarca,-17.6457,0,5.6
2014,9,Cundinamarca,-16.2284,0,5.6
2014,10,Cundinamarca,-16.8967,1,5.6
2014,11,Cundinamarca,-15.7358,1,11.1
2014,12,Cundinamarca,-15.5436,1,16.7
2015,1,Cundinamarca,1.0354,0,77.8
2015,2,Cundinamarca,1.2155,0,77.8
2015,3,Cundinamarca,8.8101,0,83.3
2015,4,Cundinamarca,5.2914,1,77.8
2015,5,Cundinamarca,5.0915,1,72.2
2015,6,Cundinamarca,1.9568,1,72.2
2015,7,Cundinamarca,1.9519,0,66.7
2015,8,Cundinamarca,6.5277,0,77.8
2015,9,Cundinamarca,5.9447,0,77.8
2015,10,Cundinamarca,2.1463,1,72.2
2015,11,Cundinamarca,4.0819,1,72.2
2015,12,Cundinamarca,1.5156,1,72.2
2016,1,Cundinamarca,4.2321,0,83.3
2016,2,Cundinamarca,6.6264,0,83.3
2016,3,Cundinamarca,9.7778,0,88.9
2016,4,Cundinamarca,2.7582,1,72.2
2016,5,Cundinamarca,6.5857,1,77.8
2016,6,Cundinamarca,6.4111,1,77.8
2016,7,Cundinamarca,3.3144,0,77.8
2016,8,Cundinamarca,7.1747,0,88.9
2016,9,Cundinamarca,6.9495,0,83.3
2016,10,Cundinamarca,6.1985,1,83.3
2016,11,Cundinamarca,9.3057,1,83.3
2016,12,Cundinamarca,7.3873,1,77.8
2017,1,Cundinamarca,11.4136,0,100.0
2017,2,Cundinamarca,8.9295,0,88.9
2017,3,Cundinamarca,7.929,0,77.8
2017,4,Cundinamarca,9.7443,1,88.9
2017,5,Cundinamarca,10.5755,1,88.9
2017,6,Cundinamarca,11.2032,1,88.9
2017,7,Cundinamarca,7.2727,0,94.4
2017,8,Cundinamarca,3.2,0,72.2
2017,9,Cundinamarca,7.271,0,88.9
2017,10,Cundinamarca,9.595,1,88.9
2017,11,Cundinamarca,10.1175,1,88.9
2017,12,Cundinamarca,8.1961,1,83.3
2018,1,Cundinamarca,-1.1111,0,72.2
2018,2,Cundinamarca,-1.3992,0,61.1
2018,3,Cundinamarca,-0.909,0,61.1
2018,4,Cundinamarca,9.1727,1,83.3
2018,5,Cundinamarca,8.3301,1,83.3
2018,6,Cundinamarca,14.4627,1,100.0
2018,7,Cundinamarca,16.4719,0,100.0
2018,8,Cundinamarca,8.2968,0,94.4
2018,9,Cundinamarca,-0.1459,0,72.2
2018,10,Cundinamarca,3.6472,1,77.8
2018,11,Cundinamarca,5.0498,1,77.8
2018,12,Cundinamarca,12.0219,1,100.0
2019,1,Cundinamarca,11.1182,0,94.4
2019,2,Cundinamarca,12.1246,0,100.0
2019,3,Cundinamarca,12.0027,0,94.4
2019,4,Cundinamarca,20.8483,1,100.0
